STAT: 2018/07/14 21:15:46 start_testing.go:374: Warm Up is started
STAT: 2018/07/14 21:15:54 start_testing.go:389: [MAIN] Warm up has been done
STAT: 2018/07/14 21:15:54 start_testing.go:401: [MAIN] Load tests with a large number of clients has been started
STAT: 2018/07/14 21:15:59 start_testing.go:421: [MAIN] New clients was added. Current clients number: 20
STAT: 2018/07/14 21:16:04 start_testing.go:421: [MAIN] New clients was added. Current clients number: 30
STAT: 2018/07/14 21:16:09 start_testing.go:421: [MAIN] New clients was added. Current clients number: 40
STAT: 2018/07/14 21:16:14 start_testing.go:421: [MAIN] New clients was added. Current clients number: 50
STAT: 2018/07/14 21:16:19 start_testing.go:421: [MAIN] New clients was added. Current clients number: 60
STAT: 2018/07/14 21:16:24 start_testing.go:421: [MAIN] New clients was added. Current clients number: 70
STAT: 2018/07/14 21:16:29 start_testing.go:421: [MAIN] New clients was added. Current clients number: 80
STAT: 2018/07/14 21:16:34 start_testing.go:421: [MAIN] New clients was added. Current clients number: 90
STAT: 2018/07/14 21:16:39 start_testing.go:421: [MAIN] New clients was added. Current clients number: 100
STAT: 2018/07/14 21:16:44 start_testing.go:421: [MAIN] New clients was added. Current clients number: 110
STAT: 2018/07/14 21:16:49 start_testing.go:421: [MAIN] New clients was added. Current clients number: 120
STAT: 2018/07/14 21:16:54 start_testing.go:421: [MAIN] New clients was added. Current clients number: 130
STAT: 2018/07/14 21:16:59 start_testing.go:421: [MAIN] New clients was added. Current clients number: 140
STAT: 2018/07/14 21:17:04 start_testing.go:421: [MAIN] New clients was added. Current clients number: 150
STAT: 2018/07/14 21:17:09 start_testing.go:421: [MAIN] New clients was added. Current clients number: 160
STAT: 2018/07/14 21:17:14 start_testing.go:421: [MAIN] New clients was added. Current clients number: 170
STAT: 2018/07/14 21:17:19 start_testing.go:421: [MAIN] New clients was added. Current clients number: 180
STAT: 2018/07/14 21:17:24 start_testing.go:421: [MAIN] New clients was added. Current clients number: 190
STAT: 2018/07/14 21:17:29 start_testing.go:421: [MAIN] New clients was added. Current clients number: 200
STAT: 2018/07/14 21:17:34 start_testing.go:421: [MAIN] New clients was added. Current clients number: 210
STAT: 2018/07/14 21:17:39 start_testing.go:421: [MAIN] New clients was added. Current clients number: 220
STAT: 2018/07/14 21:17:44 start_testing.go:421: [MAIN] New clients was added. Current clients number: 230
STAT: 2018/07/14 21:17:49 start_testing.go:421: [MAIN] New clients was added. Current clients number: 240
STAT: 2018/07/14 21:17:54 start_testing.go:421: [MAIN] New clients was added. Current clients number: 250
STAT: 2018/07/14 21:17:59 start_testing.go:421: [MAIN] New clients was added. Current clients number: 260
STAT: 2018/07/14 21:18:04 start_testing.go:421: [MAIN] New clients was added. Current clients number: 270
STAT: 2018/07/14 21:18:09 start_testing.go:421: [MAIN] New clients was added. Current clients number: 280
STAT: 2018/07/14 21:18:14 start_testing.go:421: [MAIN] New clients was added. Current clients number: 290
STAT: 2018/07/14 21:18:19 start_testing.go:421: [MAIN] New clients was added. Current clients number: 300
STAT: 2018/07/14 21:18:19 start_testing.go:405: [MAIN] Reached clients limit. Stopping creating new clients...
STAT: 2018/07/14 21:18:22 start_testing.go:428: [MAIN] Load tests with a large number of clients has been done
STAT: 2018/07/14 21:18:22 start_testing.go:429: [MAIN] Load tests with a large number of clients statistics:
STAT: 2018/07/14 21:18:22 start_testing.go:472: Sent requests count: 599310
STAT: 2018/07/14 21:18:22 start_testing.go:474: Error statistics: 0 errors occurred during get items tests, 0 errors occurred during buy items tests
STAT: 2018/07/14 21:18:22 start_testing.go:482: General requests statistics:
STAT: 2018/07/14 21:18:22 start_testing.go:488: Average response time:	3.946145 ms
STAT: 2018/07/14 21:18:22 start_testing.go:491: Response time median:	1.592826 ms
STAT: 2018/07/14 21:18:22 start_testing.go:494: Response time 95th percentile:	14.897673 ms
STAT: 2018/07/14 21:18:23 start_testing.go:526: Statistics of the number of requests in a certain time:
STAT: 2018/07/14 21:18:23 start_testing.go:527: Time	Number of requests
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:15:55	302
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:15:57	604
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:15:58	906
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:00	1458
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:01	2260
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:02	2760
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:04	3260
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:05	4566
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:07	5622
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:08	6428
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:10	7796
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:11	9726
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:12	10850
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:14	11974
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:15	14470
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:16	16105
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:17	17090
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:18	18209
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:20	20032
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:21	22829
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:22	24056
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:23	25824
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:25	28624
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:26	32285
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:27	33488
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:28	35552
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:30	38737
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:31	43043
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:32	45285
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:34	47527
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:35	52225
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:36	55674
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:37	57030
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:39	59486
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:40	64664
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:42	68614
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:43	71336
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:45	75548
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:46	79209
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:47	82740
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:48	85386
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:49	87210
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:50	92981
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:51	96693
STAT: 2018/07/14 21:18:23 start_testing.go:529: 21:16:52	98805
